event_id,date,event_title,event_summary,source_name,source_url,data_type,source_date,region,country,affected_industry,affected_component,risk_type,severity,probability,time_sensitivity,substitution_difficulty,production_impact,total_risk_score,risk_level,recommended_action,confidence_level,last_reviewed
REAL-012,2026-05-22,"Synthetic motor-oil shortage threatens service and vehicle production","Automotive News reported that synthetic motor-oil availability could affect dealership service lanes and new-vehicle production. Product specifications and regional inventory need validation.",Automotive News,https://news.google.com/rss/articles/CBMijAFBVV95cUxPWS1UVG1DN1lmRDJVZTVYVDhMQ2NaQThvQUI0NWJsSDJVSFdNUy0tVU5DTFhha1h5VlJ0cnZqa3djWXlvNEY3Mlh1Mm1CT19adWVMaTRveFA3T1hfZ2pvdWlGQ0NpSGhfQWEyNkxKbGd1c2Y2d0dlZEdnbi1Cbk0xZG9Xd0huRDBLYzNkbQ?oc=5,Real,2026-05-22,North America,United States,Vehicle Service and Assembly,Fluids and Lubricants,Capacity,4,4,4,3,4,19,High,"Confirm approved oil specifications, regional stock, supplier allocations, and substitution limits.",Medium,2026-06-12
REAL-013,2026-06-09,"NHTSA recall 26V368000: Ford Expedition center-console trim","NHTSA reports that chrome plating on certain Ford Expedition center consoles may bubble and peel, creating sharp edges and an injury risk.",NHTSA,https://api.nhtsa.gov/recalls/campaignNumber?campaignNumber=26V368000,Real,2026-06-09,North America,United States,Vehicle Safety and Aftermarket,Interior Components,Quality,3,5,3,2,3,16,Medium,"Confirm affected inventory and replacement-part availability, then coordinate dealer and customer communication.",High,2026-06-12
REAL-014,2026-06-04,"NHTSA recall 26V363000: Jeep steering-pump wiring fire risk","NHTSA reports that electric hydraulic power-steering pump wiring may overheat and cause a fire in certain Jeep vehicles, including while parked.",NHTSA,https://api.nhtsa.gov/recalls/campaignNumber?campaignNumber=26V363000,Real,2026-06-04,North America,United States,Vehicle Safety and Aftermarket,Steering Systems,Quality,5,5,5,4,5,24,Critical,"Contain affected vehicles and parts, secure replacement capacity, and monitor repair completion and dealer inventory.",High,2026-06-12
REAL-015,2026-06-04,"NHTSA recall 26V366000: Honda hybrid tire-repair kit","NHTSA reports that pressure may build in the tire-repair kit sealant bottle for certain Honda hybrid and fuel-cell vehicles, creating a projectile risk.",NHTSA,https://api.nhtsa.gov/recalls/campaignNumber?campaignNumber=26V366000,Real,2026-06-04,North America,United States,Vehicle Safety and Aftermarket,Tires,Quality,3,5,3,3,3,17,Medium,"Confirm replacement-kit supply, affected inventory, and dealer instructions before expanding repair appointments.",High,2026-06-12
REAL-016,2026-06-04,"NHTSA recall 26V365000: Honda rear-subframe corrosion","NHTSA reports rear-subframe corrosion risk at suspension mounting points for certain Honda and Acura vehicles, potentially causing loss of handling or control.",NHTSA,https://api.nhtsa.gov/recalls/campaignNumber?campaignNumber=26V365000,Real,2026-06-04,North America,United States,Vehicle Safety and Aftermarket,Chassis Structures,Quality,5,5,4,4,5,23,Critical,"Assess replacement subframe and repair capacity, prioritize exposed regions, and monitor dealer completion rates.",High,2026-06-12
REAL-017,2026-06-04,"NHTSA recall 26V362000: Chrysler Pacifica PHEV battery fire risk","NHTSA reports that battery packs in certain Chrysler Pacifica plug-in hybrid vehicles may cause a fire even while parked.",NHTSA,https://api.nhtsa.gov/recalls/campaignNumber?campaignNumber=26V362000,Real,2026-06-04,North America,United States,Vehicle Safety and Aftermarket,Battery Cells,Quality,5,5,5,5,5,25,Critical,"Contain affected vehicles, confirm battery-pack and diagnostic capacity, and track repair readiness daily.",High,2026-06-12
REAL-018,2026-06-03,"NHTSA recall 26V359000: Aston Martin Valkyrie brake overheating","NHTSA reports that a brake master-cylinder seal may deform under certain conditions, causing excessive brake pressure, overheated brakes, and fire risk.",NHTSA,https://api.nhtsa.gov/recalls/campaignNumber?campaignNumber=26V359000,Real,2026-06-03,North America,United States,Vehicle Safety and Aftermarket,Brake Systems,Quality,5,5,4,5,4,23,Critical,"Quarantine affected components, confirm validated replacement parts, and coordinate repair scheduling with owners.",High,2026-06-12
REAL-019,2026-06-02,"NHTSA recall 26V356000: Kia Telluride seat-belt retractor","NHTSA reports that the driver seat-belt retractor may lock and prevent the belt from extending in certain Kia Telluride vehicles.",NHTSA,https://api.nhtsa.gov/recalls/campaignNumber?campaignNumber=26V356000,Real,2026-06-02,North America,United States,Vehicle Safety and Aftermarket,Seats,Quality,4,5,4,4,4,21,High,"Confirm replacement retractor supply, affected production and dealer inventory, and repair campaign timing.",High,2026-06-12
REAL-020,2026-05-28,"US implements tariff-related elements of Taiwan trade agreement","The Federal Register published implementation details for tariff-related elements of a trade and security agreement involving Taiwan. Applicability to automotive electronics, components, and sourcing contracts requires legal review.",Federal Register,https://www.federalregister.gov/documents/2026/05/28/2026-10571/implementing-certain-tariff-related-elements-of-a-trade-and-security-agreement-between-the-american,Real,2026-05-28,North America,United States,Automotive and Complex Assembly,Semiconductors,Regulatory,4,4,4,5,5,22,High,"Review tariff classifications and supplier contracts for Taiwan-sourced electronics and model landed-cost changes.",High,2026-06-12
REAL-021,2026-06-10,"Hyundai targets production recovery after Mobis supplier fire","The New Indian Express reported that a fire at a Mobis India facility disrupted Hyundai's Chennai Plant 1. Hyundai said alternate sourcing had contained much of the impact and projected full production recovery by June 22.",The New Indian Express,https://www.newindianexpress.com/cities/chennai/2026/Jun/11/production-in-fire-hit-hyundai-unit-near-sriperumbudur-to-return-to-normalcy-by-june-22,Real,2026-06-11,South Asia,India,Passenger Vehicles,Multiple Components,Capacity,4,4,4,4,4,20,High,"Track alternate-part qualification, daily Chennai Plant 1 output, and supplier recovery against the June 22 target.",High,2026-06-12
REAL-022,2026-06-10,"Novelis restarts Oswego aluminum mill after fire outage","CBT News reported that Novelis restarted its Oswego hot mill after a nine-month outage. The restart reduces a major automotive aluminum constraint, but ramp-up reliability and imported-metal exposure still require monitoring.",CBT News,https://www.cbtnews.com/novelis-restarts-oswego-plant/,Real,2026-06-10,North America,United States,Automotive Materials,Aluminum Sheet,Capacity,4,3,3,4,4,18,High,"Confirm the Oswego ramp schedule, customer allocations, and remaining imported-aluminum cost exposure.",Medium,2026-06-12
REAL-023,2026-03-31,"JLR pauses Solihull production after supplier fire","WardsAuto reported that Jaguar Land Rover paused selected Solihull production after a fire at a supplier facility in Norway disrupted parts availability. The event demonstrates single-source and geographic dependency risk.",WardsAuto,https://www.wardsauto.com/news/jlr-temporary-production-pause-solihull-uk-plant-supplier-fire/816096/,Real,2026-03-31,Europe,United Kingdom,Passenger Vehicles,Multiple Components,Capacity,4,5,5,4,4,22,High,"Map the affected Norwegian supplier dependency, confirm recovery evidence, and identify qualified backup capacity.",High,2026-06-12
REAL-024,2026-03-20,"Fire at South Korean automotive parts factory disrupts engine-valve supply","Reuters reported a major fire at an automotive parts factory in Daejeon, South Korea. The human impact was severe, and the event also created potential continuity risk for engine-valve customers while recovery capacity remained uncertain.",Reuters,https://whbl.com/2026/03/20/fire-at-car-parts-factory-in-korea-leaves-55-injured-more-than-a-dozen-unaccounted-for/,Real,2026-03-20,East Asia,South Korea,Powertrain Components,Engine Valves,Capacity,5,5,5,4,5,24,Critical,"Prioritize employee safety support, verify customer allocations, and qualify alternate engine-valve capacity before production exposure grows.",High,2026-06-12
