event_id,date,event_title,event_summary,source_type,region,country,affected_industry,affected_component,risk_type,severity,probability,time_sensitivity,substitution_difficulty,production_impact
EVT-011,2026-03-18,Fictional steel mill furnace repair,An unplanned fictional furnace repair reduced availability of exposed automotive steel grades.,Industry Bulletin,East Asia,Japan,Body Structures,Steel,Capacity,3,4,3,3,4
EVT-012,2026-03-25,Fictional tire rubber allocation,A fictional natural rubber shortfall triggered temporary allocation for selected tire plants.,Commodity Monitor,Southeast Asia,Thailand,Chassis Systems,Tires,Commodity,3,4,3,3,3
EVT-013,2026-04-01,Fictional glass furnace instability,A fictional furnace-control issue reduced windshield glass output at one regional plant.,Supplier Update,Europe,Czech Republic,Vehicle Exteriors,Glass,Capacity,3,3,3,4,3
EVT-014,2026-04-05,Fictional motor bearing recall,A fictional dimensional defect was found in bearings supplied for electric traction motors.,Supplier Quality Alert,East Asia,Japan,Electric Powertrain,Electric Motors,Quality,5,3,4,5,5
EVT-015,2026-04-09,Fictional rail corridor closure,A fictional landslide closed a rail corridor used for inbound steel and outbound vehicle movements.,Logistics Notice,South America,Brazil,Passenger Vehicles,Steel,Logistics,4,4,5,3,4
EVT-016,2026-04-13,Fictional fastener plating restriction,A fictional environmental rule change may limit use of one corrosion-resistant plating process.,Regulatory Watch,Europe,France,Complex Assembly,Fasteners,Regulatory,3,4,3,3,3
EVT-017,2026-04-18,Fictional semiconductor allocation cut,A fictional microcontroller supplier reduced confirmed automotive allocation for the next six weeks.,Supplier Notice,East Asia,Malaysia,Automotive Electronics,Semiconductors,Capacity,5,5,5,5,5
EVT-018,2026-04-22,Fictional harness plant absenteeism,A fictional seasonal illness caused elevated absenteeism at a labor-intensive harness plant.,Supplier Update,North Africa,Morocco,Passenger Vehicles,Wiring Harnesses,Labor,3,4,4,4,4
EVT-019,2026-04-27,Fictional battery material customs hold,A fictional documentation review delayed cathode material clearance for a battery-cell facility.,Customs Notice,Europe,Hungary,Electric Vehicles,Battery Cells,Logistics,4,3,4,5,5
EVT-020,2026-05-02,Fictional inverter coolant leak,A fictional validation test identified a coolant-seal weakness in an inverter family.,Engineering Alert,North America,United States,Electric Powertrain,Power Electronics,Quality,5,3,4,5,5
EVT-021,2026-05-07,Fictional seat foam feedstock spike,A fictional petrochemical outage increased foam feedstock prices and tightened regional supply.,Commodity Monitor,Middle East,Saudi Arabia,Vehicle Interiors,Seats,Commodity,2,2,2,2,2
EVT-022,2026-05-11,Fictional magnet supplier cyber event,A fictional cyber event interrupted production scheduling and export documentation for a magnet supplier.,Cyber Alert,East Asia,China,Electric Powertrain,Rare Earth Magnets,Cybersecurity,4,4,5,5,5
EVT-023,2026-05-16,Fictional coastal storm warning,A fictional severe storm is forecast near a port handling imported brake-system components.,Weather Alert,North America,Mexico,Chassis Systems,Brake Systems,Natural Disaster,3,3,4,4,4
EVT-024,2026-05-20,Fictional casting tool failure,A fictional die failure stopped production of a transmission housing at a single-source foundry.,Supplier Notice,Europe,Italy,Powertrain Components,Aluminum Castings,Capacity,5,4,5,5,5
EVT-025,2026-05-24,Fictional infotainment software certificate delay,A fictional compliance certificate delay is blocking release of a new infotainment module variant.,Regulatory Watch,Europe,Sweden,Automotive Electronics,Infotainment Modules,Regulatory,3,4,4,4,3
EVT-026,2026-05-29,Fictional tire plant energy curtailment,A fictional grid emergency required a tire plant to reduce energy use during peak hours.,Utility Notice,Africa,South Africa,Chassis Systems,Tires,Capacity,2,2,2,1,2
EVT-027,2026-06-02,Fictional resin supplier liquidity concern,A fictional compounder requested accelerated payment terms after losing a major non-automotive customer.,Financial Monitor,North America,United States,Interior Systems,Resins,Supplier Financial,3,4,3,3,3
EVT-028,2026-06-05,Fictional motor plant strike vote,A fictional workforce approved a strike mandate while contract negotiations continue.,Labor Monitor,Europe,Germany,Electric Powertrain,Electric Motors,Labor,4,4,5,5,5
EVT-029,2026-06-08,Fictional steel coil vessel delay,A fictional vessel mechanical issue delayed arrival of galvanized steel coils by nine days.,Logistics Notice,South Asia,India,Body Structures,Steel,Logistics,3,4,4,3,4
EVT-030,2026-06-10,Fictional glass quality hold,A fictional optical-distortion check placed two lots of panoramic roof glass on quality hold.,Supplier Quality Alert,East Asia,South Korea,Vehicle Exteriors,Glass,Quality,4,3,4,4,3
